EJERCICIO,NRO_OP,NRO_REG_COMP,TIPO_COMPROB,NRO_COMPROB,COD_PROV,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,IMPORTE_IMPUT
2026,285,669,COM,0000-11250000,789,110,3,3,9,0,1110108000,29,0,0,518904.0
2026,285,669,COM,0003-90023359,789,110,3,1,9,0,1110108000,29,0,0,4315.5
2026,285,669,FAA,0002-00096433,789,110,3,1,1,0,1110108000,29,0,0,137891.49
2026,285,669,FAA,0002-00096444,789,110,3,1,1,0,1110108000,29,0,0,142788.9
2026,285,669,FAA,0002-00096461,789,110,3,1,1,0,1110108000,29,0,0,152583.73
2026,285,669,FAA,0005-00547153,789,110,3,1,9,0,1110108000,29,0,0,54751.4
2026,285,669,FAA,0007-00179541,789,110,3,1,4,0,1110108000,29,0,0,29499.41
2026,285,669,FAA,0007-00179564,789,110,3,1,4,0,1110108000,29,0,0,29377.93
2026,285,669,FAS,0004-67576083,789,110,3,1,3,0,1110108000,29,0,0,24667.91
2026,285,669,FAS,0004-67576084,789,110,3,1,3,0,1110108000,29,0,0,47823.11
2026,285,669,FAS,0119-03561857,789,110,3,1,2,0,1110108000,29,0,0,30436.12
2026,285,669,FAS,0119-03562056,789,110,3,1,2,0,1110108000,29,0,0,18121.61
2026,286,279,FAB,0021-00105621,5,131,2,9,9,0,1110111000,23,0,0,5916.5
2026,286,279,FAB,0022-00075901,5,131,2,9,9,0,1110111000,23,0,0,9047.0
2026,287,208,FAB,0010-00011536,2330,110,2,5,6,0,1110108000,29,0,0,40866.34
2026,288,187,FAB,0010-00011537,2330,110,2,5,6,0,1110109000,28,0,0,294120.0
2026,289,225,FAC,0002-00000059,3145,132,2,9,9,0,1110105000,50,0,0,371999.0
2026,290,126,FAB,0004-00000569,1494,131,3,5,9,0,1110104000,16,0,0,180000.0
2026,291,239,FAC,0002-00000324,2490,131,2,1,1,0,1110104000,16,0,0,261000.0
