EJERCICIO,NRO_REGUL,NRO_RENG,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,CODIGO_UE,CODIGO_AXT,COD_PROV,IMPORTE,DEUDA,OBSERVACIONES
2013,584,0,110,3,1,1,0,1110113000,42,0,0,20,,193,-8463.89,N,
2013,584,1,132,3,1,1,0,1110113000,42,0,0,20,,193,8463.89,N,
2013,585,0,110,3,1,1,0,1110103000,18,0,0,3,,193,-9723.12,N,
2013,585,1,132,3,1,1,0,1110103000,18,0,0,3,,193,9723.12,N,
2013,586,0,132,3,1,1,0,1110110000,30,0,0,12,,193,207.06,N,
2013,586,1,110,3,1,1,0,1110110000,30,0,0,12,,193,-207.06,N,
2013,587,0,110,3,1,1,0,1110200000,1,0,0,8,,193,-377.46,N,
2013,587,1,132,3,1,1,0,1110200000,1,0,0,8,,193,377.46,N,
2013,588,0,110,3,1,1,0,1110102000,1,0,0,2,,193,-5979.76,N,
2013,588,1,132,3,1,1,0,1110102000,1,0,0,2,,193,5979.76,N,
2013,589,0,132,3,1,1,0,1110111000,23,0,0,3,,193,855.67,N,
2013,589,1,110,3,1,1,0,1110111000,23,0,0,3,,193,-855.67,N,
2013,590,0,110,3,1,1,0,1110104000,16,0,0,5,,193,-8869.28,N,
2013,590,1,110,3,1,1,0,1110104000,17,0,0,11,,193,-367.94,N,
2013,590,2,132,3,1,1,0,1110104000,16,0,0,5,,193,8869.28,N,
2013,591,0,110,3,1,1,0,1110114000,1,0,0,21,,193,-763.49,N,
2013,590,3,132,3,1,1,0,1110104000,17,0,0,11,,193,367.94,N,
2013,592,0,110,3,1,1,0,1110108000,29,0,0,14,,193,-1368.56,N,
2013,591,1,132,3,1,1,0,1110114000,1,0,0,21,,193,763.49,N,
2013,593,0,132,3,1,1,0,1110110000,30,0,0,12,,193,177.72,N,
2013,592,1,132,3,1,1,0,1110108000,29,0,0,14,,193,1368.56,N,
2013,593,1,110,3,1,1,0,1110110000,30,0,0,12,,193,-177.72,N,
2013,594,0,110,3,1,1,0,1110105000,27,0,0,6,,193,-8294.13,N,
2013,594,1,132,3,1,1,0,1110105000,27,0,0,6,,193,8294.13,N,
2013,595,0,110,3,1,1,0,1110110000,30,0,0,12,,193,-240.61,N,
2013,595,1,132,3,1,1,0,1110110000,30,0,0,12,,193,240.61,N,
2013,596,0,132,3,1,1,0,1110106000,24,0,0,7,,193,1132.22,N,
2013,596,1,110,3,1,1,0,1110106000,24,0,0,7,,193,-1132.22,N,
2013,597,0,110,3,1,1,0,1110113000,42,0,0,20,,193,-8945.59,N,
2013,597,1,132,3,1,1,0,1110113000,42,0,0,20,,193,8945.59,N,
2013,598,0,131,3,1,1,0,1110111000,23,0,0,3,,193,-840.39,N,
2013,598,1,132,3,1,1,0,1110111000,23,0,0,3,,193,840.39,N,
2013,599,0,110,3,1,1,0,1110103000,18,0,0,3,,193,-792.22,N,
2013,599,1,132,3,1,1,0,1110103000,18,0,0,3,,193,792.22,N,
2013,600,0,110,3,1,1,0,1110102000,1,0,0,2,,193,-5663.62,N,
2013,600,1,132,3,1,1,0,1110102000,1,0,0,2,,193,5663.62,N,
2013,601,0,132,3,1,1,0,1110111000,23,0,0,3,,193,855.67,N,
2013,601,1,131,3,1,1,0,1110111000,23,0,0,3,,193,-855.67,N,
2013,602,0,110,3,1,1,0,1110200000,1,0,0,8,,193,-398.83,N,
2013,602,1,132,3,1,1,0,1110200000,1,0,0,8,,193,398.83,N,
2013,603,0,110,3,1,1,0,1110103000,18,0,0,3,,193,-789.49,N,
2013,603,1,132,3,1,1,0,1110103000,18,0,0,3,,193,789.49,N,
2013,604,0,132,3,1,1,0,1110113000,42,0,0,20,,193,8433.18,N,
2013,604,1,110,3,1,1,0,1110113000,42,0,0,20,,193,-8433.18,N,
2013,605,0,110,3,1,1,0,1110104000,16,0,0,5,,193,-9479.51,N,
2013,605,1,110,3,1,1,0,1110104000,17,0,0,11,,193,-350.21,N,
2013,605,2,132,3,1,1,0,1110104000,16,0,0,5,,193,9479.51,N,
2013,606,0,110,3,1,1,0,1110109000,28,0,0,13,,193,-2129.33,N,
2013,605,3,132,3,1,1,0,1110104000,17,0,0,11,,193,350.21,N,
2013,606,1,132,3,1,1,0,1110109000,28,0,0,13,,193,2129.33,N,
