EJERCICIO,NRO_OP,NRO_REG_COMP,TIPO_COMPROB,NRO_COMPROB,COD_PROV,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,IMPORTE_IMPUT
2026,298,148,FAB,0006-00000819,2627,131,2,1,1,0,1110104000,16,0,0,33000.0
2026,953,1500,FAB,2022-21900826,50087,110,3,5,5,0,1110102000,1,0,0,636152.19
2026,954,251,FAB,0010-00000545,2869,110,2,1,1,0,1110106000,49,0,0,58980.0
2026,956,158,FAB,0005-00002022,1943,131,3,3,3,0,1110104000,16,0,0,1533696.78
2026,970,1503,FAB,2022-21900827,50087,110,3,5,5,0,1110102000,1,0,0,607269.33
2026,971,1504,FAB,2022-21900828,50087,110,3,5,5,0,1110102000,1,0,0,127732.6
2026,972,251,FAB,0010-00000546,2869,110,2,1,1,0,1110106000,49,0,0,247920.0
2026,973,1509,FAB,0004-00000032,2476,110,3,3,1,0,1110103000,51,71,0,1400000.0
2026,974,1309,FAB,0006-00000006,3011,110,2,7,9,0,1110118000,46,0,0,65340.0
2026,974,1309,FAB,0006-00000006,3011,110,2,9,6,0,1110118000,46,0,0,2940300.0
2026,1149,1671,FAB,2485-56998513,50002,110,3,1,4,0,1110102000,1,0,0,35151.65
2026,1150,1505,FAB,0011-00000706,822,110,2,9,6,0,1110118000,46,0,0,424136.94
2026,1151,1672,FAB,2022-21900837,50087,110,7,5,3,0,1110102000,1,0,0,4759832.56
2026,1154,1673,FAA,0390-00007878,50020,110,3,5,1,0,1110105000,50,0,0,12500.0
2026,1154,1673,FAA,0390-00007879,50020,110,3,5,1,0,1110105000,50,0,0,12500.0
2026,1154,1673,FAA,0390-00007884,50020,110,3,5,1,0,1110105000,50,0,0,14400.0
2026,1154,1673,FAA,0390-00007886,50020,110,3,5,1,0,1110105000,50,0,0,12500.0
2026,1154,1673,FAC,0001-00000392,50020,110,2,7,4,0,1110105000,50,0,0,18000.0
2026,1154,1673,FAA,0390-00007880,50020,110,3,5,1,0,1110105000,50,0,0,12500.0
2026,1154,1673,FAB,0390-00025441,50020,110,3,5,1,0,1110105000,50,0,0,12500.0
2026,1154,1673,FAA,0390-00007877,50020,110,3,5,1,0,1110105000,50,0,0,14400.0
2026,1154,1673,FAA,0390-00007912,50020,110,3,5,1,0,1110105000,50,0,0,14400.0
2026,1154,1673,FAA,0390-00007913,50020,110,3,5,1,0,1110105000,50,0,0,14400.0
2026,1155,1277,FAC,0002-00000174,360,110,3,1,9,0,1110105000,50,0,0,140000.0
2026,1159,1110,FAB,0001-00002311,3324,110,2,1,1,0,1110105000,30,0,0,164735.0
2026,1411,1998,FAB,7004-68677078,50023,132,3,1,3,0,1110102000,33,0,0,41131.59
2026,1411,1998,FAB,7004-68677079,50023,132,3,1,3,0,1110102000,33,0,0,32402.32
2026,1412,1992,FAB,7004-68784185,50023,110,3,1,3,0,1110102000,1,0,0,27541.85
2026,1412,1992,FAB,7004-68784187,50023,110,3,1,3,0,1110102000,1,0,0,32392.29
2026,1412,1992,FAB,7004-68784159,50023,110,3,1,3,0,1110102000,1,0,0,23790.85
2026,1412,1992,FAB,7004-68784163,50023,110,3,1,3,0,1110102000,1,0,0,26800.11
2026,1414,2010,FAB,7004-68784181,50023,110,3,1,3,0,1110106000,24,0,0,24086.19
2026,1414,2010,FAB,7004-68784182,50023,110,3,1,3,0,1110106000,25,0,0,35003.46
2026,1415,2014,FAB,7004-68784183,50023,110,3,1,3,0,1110105000,30,0,0,23420.48
2026,1415,2014,FAB,7004-68784171,50023,110,3,1,3,0,1110105000,50,0,0,24100.58
2026,1415,2014,FAB,7004-68784153,50023,110,3,1,3,0,1110105000,50,0,0,23387.22
