ANIO_PRESUP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,DESAGREGA,DENOMINACION,DENOMINACION_AB,CODIGO_UE,EJECUTADO,ESTIMADO,PROGRAMADO,CODIGO_PRESTAMO,FINALIDAD,FUNCION,SUBFUNCION,CREDITO_INIC,CREDITO_MODIF,PREVENTIVO,COMPROMISO,DEVENGADO,PAGADO,PPG,PPG_PORCEN
2021,1110102000,1,0,0,N,Conducción Superior,Conducción Superior,2,0.0,0.0,0.0,,1,3,0,38054000.12,0.0,19869979.55,0.0,54110321.01,0.0,,
2021,1110113000,42,0,0,N,Protección Ciudadana,Seguridad,20,0.0,0.0,0.0,,2,1,0,45853405.69,0.0,22261993.91,0.0,90439300.48,0.0,,
2021,1110112000,1,0,0,N,Administración Financiera,Administración Financiera,19,0.0,0.0,0.0,,1,6,0,30734078.0,0.0,5850951.93,0.0,37493702.54,0.0,,
2021,1110109000,46,0,0,N,Promocion de la Tercera Edad,Tercera Edad,13,0.0,0.0,0.0,,3,4,2,1065507.0,0.0,0.0,0.0,704712.27,0.0,,
2021,1110113000,43,0,0,N,Atención de Policia Comunal,Atención Policia Comunal,20,0.0,0.0,0.0,,2,1,0,3700000.0,0.0,0.0,0.0,1552794.62,0.0,,
2021,1110103000,51,99,24,N,Escuela Nº501,Escuela Nº 501,3,0.0,0.0,0.0,,3,4,2,0.0,0.0,886900.47,0.0,838188.21,0.0,,
2021,1110115000,1,0,0,N,Coordinación General y Modernizacion del estado,Coordinación General,22,0.0,0.0,0.0,,3,4,1,10037624.0,0.0,1082632.04,0.0,10569287.9,0.0,,
2021,1110113000,47,0,0,N,Apoyo a Bomberos Voluntarios,Apoyo a Bomberos,20,0.0,0.0,0.0,,2,1,0,1020000.0,0.0,0.0,0.0,1266987.08,0.0,,
2021,1110103000,51,99,25,N,Escuela de Arte nº1,Escuela de Arte nº1,3,0.0,0.0,0.0,,3,4,2,0.0,0.0,110895.1,0.0,110895.1,0.0,,
2021,1110113000,32,0,0,N,Ordenamiento y Control de la Circulacion en la via publica,Ord. Via Publica,20,0.0,0.0,0.0,,2,1,0,9316465.27,0.0,112429.0,0.0,7233432.17,0.0,,
2021,1110102000,33,0,0,N,Promocion de la Juventud,Promocion de la Juventud,2,0.0,0.0,0.0,,3,4,3,4775900.0,0.0,916853.7,0.0,5910229.65,0.0,,
2021,1110103000,51,99,26,N,EET Nº1,EET Nº1,3,0.0,0.0,0.0,,3,4,2,0.0,0.0,167723.77,0.0,167723.76,0.0,,
2021,1110106000,42,0,0,N,Fortalecimiento Programas Sociales,Fortal. Prog. Sociales,7,0.0,0.0,0.0,,3,2,0,4500000.0,0.0,2493292.28,0.0,3219821.19,0.0,,
2021,1110103000,51,99,27,N,EEP Nº3,EEP Nº3,3,0.0,0.0,0.0,,3,4,2,0.0,0.0,1035409.8,0.0,915409.8,0.0,,
2021,1110103000,51,98,0,N,PLANTA DEPURADORA DE LIQUIDOS CLOACALES,PLANTA DEPURADORA,3,0.0,0.0,0.0,MOYS1,3,8,0,0.0,0.0,0.0,0.0,0.0,0.0,,
