COD_PROV,COD_IMP,COD_ACTIV,COEF_CONV_MULTI
50019,INGBR,EXENT,1.0
50019,IVA,EXENT,1.0
50020,GANAN,EXENT,1.0
50020,INGBR,EXENT,1.0
50020,IVA,EXENT,1.0
50021,GANAN,EXENT,1.0
50021,INGBR,EXENT,1.0
50021,IVA,EXENT,1.0
50022,GANAN,EXENT,1.0
50022,INGBR,EXENT,1.0
50022,IVA,EXENT,1.0
50023,GANAN,EXENT,1.0
50023,INGBR,EXENT,1.0
50023,IVA,EXENT,1.0
1104,INGBR,A122R,1.0
71,GANAN,VTABI,1.0
71,IVA,RESPO,1.0
72,GANAN,VTABI,1.0
72,IVA,RESPO,1.0
50024,GANAN,EXENT,1.0
50024,INGBR,EXENT,1.0
50024,IVA,EXENT,1.0
73,GANAN,VTABI,1.0
73,IVA,RESPO,1.0
1105,INGBR,A122R,1.0
75,GANAN,VTABI,1.0
75,IVA,RESPO,1.0
76,GANAN,VTABI,1.0
76,IVA,RESPO,1.0
77,GANAN,VTABI,1.0
77,IVA,RESPO,1.0
78,GANAN,VTABI,1.0
78,IVA,RESPO,1.0
79,GANAN,VTABI,1.0
79,IVA,RESPO,1.0
80,GANAN,VTABI,1.0
80,IVA,RESPO,1.0
81,GANAN,VTABI,1.0
81,IVA,RESPO,1.0
82,GANAN,VTABI,1.0
82,IVA,RESPO,1.0
1106,INGBR,A122R,1.0
1107,INGBR,A122R,1.0
50025,IVA,RESPO,1.0
50025,GANAN,SERVI,1.0
50026,GANAN,SERVI,1.0
1108,INGBR,A122R,1.0
85,GANAN,VTABI,1.0
85,IVA,RESPO,1.0
50027,GANAN,EXENT,1.0
50027,INGBR,EXENT,1.0
50027,IVA,EXENT,1.0
1109,INGBR,A122R,1.0
87,GANAN,VTABI,1.0
87,IVA,RESPO,1.0
88,GANAN,VTABI,1.0
88,IVA,RESPO,1.0
89,GANAN,VTABI,1.0
89,IVA,RESPO,1.0
90,GANAN,VTABI,1.0
90,IVA,RESPO,1.0
50028,GANAN,EXENT,1.0
50028,INGBR,EXENT,1.0
50028,IVA,EXENT,1.0
1110,INGBR,A122R,1.0
50029,GANAN,EXENT,1.0
50029,INGBR,EXENT,1.0
50029,IVA,EXENT,1.0
50030,GANAN,EXENT,1.0
50030,INGBR,EXENT,1.0
50030,IVA,EXENT,1.0
1111,INGBR,A122R,1.0
94,GANAN,SERVI,1.0
94,IVA,EXENT,1.0
95,IVA,RESPO,1.0
95,GANAN,SERVI,1.0
96,GANAN,VTABI,1.0
96,IVA,RESPO,1.0
97,GANAN,VTABI,1.0
97,IVA,RESPO,1.0
98,GANAN,VTABI,1.0
98,IVA,RESPO,1.0
99,IVA,RESPO,1.0
50031,GANAN,EXENT,1.0
50031,INGBR,EXENT,1.0
50031,IVA,EXENT,1.0
50036,INGBR,EXENT,1.0
50036,IVA,EXENT,1.0
1112,INGBR,A122R,1.0
101,GANAN,VTABI,1.0
50032,GANAN,EXENT,1.0
50032,INGBR,EXENT,1.0
50032,IVA,EXENT,1.0
1113,INGBR,A122R,1.0
50033,GANAN,EXENT,1.0
50033,INGBR,EXENT,1.0
50033,IVA,EXENT,1.0
103,GANAN,VTABI,1.0
103,IVA,RESPO,1.0
1114,INGBR,A122R,1.0
1115,INGBR,A122R,1.0
50034,GANAN,EXENT,1.0
50034,INGBR,EXENT,1.0
50034,IVA,EXENT,1.0
1116,INGBR,A122R,1.0
50035,GANAN,EXENT,1.0
50035,INGBR,EXENT,1.0
50035,IVA,EXENT,1.0
1117,INGBR,A122R,1.0
1162,INGBR,A122R,1.0
50036,GANAN,EXENT,1.0
109,GANAN,VTABI,1.0
109,IVA,RESPO,1.0
110,GANAN,ALQUI,1.0
50037,GANAN,EXENT,1.0
50037,INGBR,EXENT,1.0
50040,INGBR,EXENT,1.0
50040,GANAN,EXENT,1.0
1118,INGBR,A122R,1.0
1119,INGBR,A122R,1.0
1120,INGBR,A122R,1.0
1122,INGBR,A122R,1.0
1123,INGBR,A122R,1.0
1124,INGBR,A122R,1.0
1125,INGBR,A122R,1.0
1126,INGBR,A122R,1.0
1127,INGBR,A122R,1.0
1128,INGBR,A122R,1.0
1129,INGBR,A122R,1.0
1130,INGBR,A122R,1.0
1131,INGBR,A122R,1.0
1132,INGBR,A122R,1.0
1133,INGBR,A122R,1.0
1134,INGBR,A122R,1.0
1135,INGBR,A122R,1.0
1136,INGBR,A122R,1.0
1137,INGBR,A122R,1.0
1138,INGBR,A122R,1.0
1139,INGBR,A122R,1.0
1140,INGBR,A122R,1.0
1141,INGBR,A122R,1.0
1142,INGBR,A122R,1.0
1143,INGBR,A122R,1.0
1144,INGBR,A122R,1.0
1145,INGBR,A122R,1.0
1146,INGBR,A122R,1.0
1147,INGBR,A122R,1.0
1148,INGBR,A122R,1.0
1149,INGBR,A122R,1.0
1150,INGBR,A122R,1.0
1151,INGBR,A122R,1.0
1152,INGBR,A122R,1.0
1153,INGBR,A122R,1.0
1154,INGBR,A122R,1.0
1155,INGBR,A122R,1.0
1156,INGBR,A122R,1.0
1157,INGBR,A122R,1.0
1158,INGBR,A122R,1.0
1159,INGBR,A122R,1.0
1160,INGBR,A122R,1.0
1161,INGBR,A122R,1.0
50040,IVA,EXENT,1.0
50041,IVA,RNINS,1.0
50042,IVA,RNINS,1.0
50042,GANAN,HONOR,1.0
50045,GANAN,HONOR,1.0
50045,IVA,RNINS,1.0
50044,GANAN,HONOR,1.0
50043,GANAN,HONOR,1.0
50041,GANAN,HONOR,1.0
50046,GANAN,HONOR,1.0
50039,GANAN,HONOR,1.0
50038,GANAN,HONOR,1.0
50047,GANAN,HONOR,1.0
50048,GANAN,HONOR,1.0
50048,IVA,RNINS,1.0
1163,INGBR,A122R,1.0
115,GANAN,VTABI,1.0
115,IVA,RESPO,1.0
50049,GANAN,EXENT,1.0
50049,INGBR,EXENT,1.0
50049,IVA,EXENT,1.0
1164,INGBR,A122R,1.0
117,GANAN,VTABI,1.0
117,IVA,RESPO,1.0
118,GANAN,SERVI,1.0
118,IVA,RESPO,1.0
1165,INGBR,A122R,1.0
121,GANAN,VTABI,1.0
121,IVA,RESPO,1.0
122,GANAN,VTABI,1.0
122,IVA,RESPO,1.0
50050,GANAN,EXENT,1.0
50050,INGBR,EXENT,1.0
50050,IVA,EXENT,1.0
123,GANAN,VTABI,1.0
123,IVA,RESPO,1.0
1166,INGBR,A122R,1.0
125,GANAN,VTABI,1.0
125,IVA,RESPO,1.0
126,IVA,EXENT,1.0
1167,INGBR,A122R,1.0
1168,INGBR,A122R,1.0
1169,INGBR,A122R,1.0
129,GANAN,VTABI,1.0
129,IVA,RESPO,1.0
131,GANAN,VTABI,1.0
131,IVA,RESPO,1.0
1170,INGBR,A122R,1.0
133,GANAN,VTABI,1.0
133,IVA,RESPO,1.0
134,GANAN,VTABI,1.0
134,IVA,RESPO,1.0
135,GANAN,SERVI,1.0
135,IVA,RESPO,1.0
1171,INGBR,A122R,1.0
50051,GANAN,EXENT,1.0
50051,INGBR,EXENT,1.0
50051,IVA,EXENT,1.0
50052,GANAN,EXENT,1.0
50052,INGBR,EXENT,1.0
50052,IVA,EXENT,1.0
2275,GANAN,MONOL,1.0
138,IVA,EXENT,1.0
50053,GANAN,EXENT,1.0
50053,INGBR,EXENT,1.0
50053,IVA,EXENT,1.0
50054,GANAN,EXENT,1.0
50054,INGBR,EXENT,1.0
50054,IVA,EXENT,1.0
139,GANAN,SERVI,1.0
139,IVA,RESPO,1.0
140,GANAN,SERVI,1.0
140,IVA,RESPO,1.0
11,GANAN,VTABI,1.0
11,IVA,RESPO,1.0
141,GANAN,VTABI,1.0
141,IVA,RESPO,1.0
1172,INGBR,A122R,1.0
143,GANAN,SERVI,1.0
143,IVA,RESPO,1.0
1173,INGBR,A122R,1.0
147,GANAN,VTABI,1.0
147,IVA,RESPO,1.0
50055,GANAN,ALQUI,1.0
50055,GANAN,EXENT,1.0
50055,INGBR,EXENT,1.0
50055,IVA,EXENT,1.0
50056,GANAN,EXENT,1.0
50056,INGBR,EXENT,1.0
