EJERCICIO,NRO_COTI,COD_PROV,FECH_EMI_COTI,NRO_CERTIF,NRO_LLAMADO,ESTADO
2026,921,777,2026-03-09 00:00:00,,1,N
2026,922,1259,2026-03-09 00:00:00,,1,N
2026,923,717,2026-03-09 00:00:00,,1,N
2026,925,1514,2026-03-09 00:00:00,,1,N
2026,927,1514,2026-03-09 00:00:00,,1,N
2026,939,395,2026-03-09 00:00:00,,1,N
2026,940,2209,2026-03-09 00:00:00,,1,N
2026,942,3395,2026-03-09 00:00:00,,1,N
2026,944,803,2026-03-10 00:00:00,,1,N
2026,945,169,2026-03-10 00:00:00,,1,N
2026,949,2110,2026-03-10 00:00:00,,1,N
2026,952,2627,2026-03-10 00:00:00,,1,N
2026,958,2627,2026-03-10 00:00:00,,1,N
2026,960,1573,2026-03-10 00:00:00,,1,N
2026,961,167,2026-03-10 00:00:00,,1,N
2026,962,717,2026-03-10 00:00:00,,1,N
2026,963,167,2026-03-10 00:00:00,,1,N
2026,964,3287,2026-03-10 00:00:00,,1,N
2026,965,3296,2026-03-10 00:00:00,,1,N
2026,966,1603,2026-03-10 00:00:00,,1,N
2026,886,1977,2026-03-10 00:00:00,2270,1,N
2026,1001,2595,2026-03-11 00:00:00,,1,N
2026,1002,3336,2026-03-11 00:00:00,,1,N
2026,1004,3395,2026-03-11 00:00:00,,1,N
2026,1007,2450,2026-03-11 00:00:00,,1,N
2026,1008,3564,2026-03-11 00:00:00,,1,N
2026,1009,1440,2026-03-11 00:00:00,,1,N
2026,1010,2627,2026-03-11 00:00:00,,1,N
2026,1011,850,2026-03-11 00:00:00,,1,N
2026,1012,300,2026-03-11 00:00:00,,1,N
2026,1014,3165,2026-03-11 00:00:00,,1,N
2026,1015,2416,2026-03-11 00:00:00,,1,N
2026,1016,2801,2026-03-11 00:00:00,,1,N
2026,1017,2627,2026-03-11 00:00:00,,1,N
2026,1018,1879,2026-03-11 00:00:00,,1,N
2026,1019,1879,2026-03-11 00:00:00,,1,N
2026,1020,285,2026-03-11 00:00:00,,1,N
2026,1021,2595,2026-03-11 00:00:00,,1,N
2026,1022,1810,2026-03-11 00:00:00,,1,N
2026,1030,441,2026-03-13 00:00:00,,1,N
2026,1032,2991,2026-03-13 00:00:00,,1,N
2026,1033,2450,2026-03-13 00:00:00,,1,N
2026,1065,1527,2026-03-17 00:00:00,,1,N
2026,641,2674,2026-02-13 00:00:00,,1,N
2026,642,3177,2026-02-13 00:00:00,,1,N
